,0,1,normalized
418,saugatak,January 2004,"[u'tl', u'hp', u'engine', u'place', u'behind', u'hp', u'bmw', u'acceleration', u'drive', u'car', u'acceleration', u'tl', u'phenomenal']"
419,kdshapiro,January 2004,"[u'actually', u'faster', u'accord', u'car', u'driver']"
420,saugatak,January 2004,"[u'actually', u'faster', u'accord', u'car', u'driver', u'true', u'honda', u'real', u'world', u'experience', u'also', u'vtec', u'engines', u'well', u'know', u'lot', u'low', u'end', u'torque', u'tl', u'go', u'say', u'sure', u'tl', u'would', u'hit', u'lot', u'faster']"
421,kdshapiro,January 2004,"[u'check', u'car', u'driver', u'link', u'handy', u'information', u'actually', u'post']"
422,saugatak,January 2004,"[u'kdshapiro', u'believe', u'stats', u'car', u'driver', u'could', u'see', u'beat', u'tl', u'flat', u'start', u'run', u'wonder', u'compare', u'manual', u'manual', u'manual', u'automatic']"
423,chrisboth,January 2004,"[u'hand', u'afford', u'bmw', u'question', u'afford', u'insurance', u'closer', u'middle', u'age', u'perhaps', u'matrimony', u'discount', u'hop', u'anti', u'lawsuit', u'legislation', u'well', u'also', u'consider', u'jet', u'bike', u'jay', u'leno', u'buy', u'work', u'describe', u'faster', u'go', u'accelerate', u'would', u'quite', u'feat', u'get', u'car', u'contemplate', u'roll', u'royce', u'turbine', u'upgrade', u'g', u'instead', u'lightweight', u'flywheel', u'ha']"
424,prattster,January 2004,"[u'one', u'watch', u'year', u'time', u'frame', u'bet', u'farm', u'go', u'awd', u'sooped', u'engine', u'http']"
425,kdshapiro,January 2004,"[u'say', u'rwd', u'yawn']"
426,riez,January 2004,"[u'chrisboth', u'kahunah', u'percentage', u'ownership', u'cost', u'think', u'relate', u'fuel', u'much', u'depreciation', u'biggest', u'hit', u'forget', u'insurance', u'ttl', u'annual', u'registration', u'maintenance', u'include', u'pay', u'car', u'get', u'mpg', u'drive', u'miles', u'years', u'take', u'gallons', u'fuel', u'town', u'right', u'premium', u'ultimate', u'fuel', u'use', u'cost', u'per', u'gallon', u'would', u'mere', u'total', u'fuel', u'cost', u'car', u'insurance', u'time', u'would', u'intitial', u'tax', u'car', u'around', u'first', u'five', u'years', u'ownership', u'cost', u'chrysler', u'register', u'car', u'per', u'year', u'four', u'set', u'tire', u'cost', u'chrysler', u'least', u'per', u'tire', u'depreciation', u'years', u'probably', u'fuel', u'big', u'consideration', u'say', u'get', u'mpg', u'would', u'gallons', u'mere', u'per', u'year', u'per', u'mile', u'drive', u'big', u'deal', u'even', u'penny', u'mile', u'hope', u'maths', u'right', u'get', u'nearly', u'mpg', u'hardly', u'least', u'mph', u'normally', u'drive', u'interstate']"
427,chrisboth,January 2004,"[u'enjoy', u'put', u'food', u'baby', u'insurance', u'make', u'chrysler', u'spin', u'pay', u'hit', u'run', u'ring', u'dinner', u'right', u'via', u'insurance', u'premiunm', u'bet', u'eat', u'better', u'right']"
428,kahunah,January 2004,"[u'tell', u'chrysler', u'riez', u'fwd', u'awd', u'rwd', u'figure', u'courtesy']"
429,stickguy,January 2004,"[u'rx', u'suv', u'tall', u'toyota', u'station', u'wagon', u'lot', u'particularly', u'fuel', u'efficient', u'fgiven', u'size', u'output', u'expect', u'new', u'engines', u'upcoming', u'gs', u'probably', u'next', u'one', u'get', u'betteg', u'toyota', u'point', u'afford', u'car', u'class', u'upkeep', u'difference', u'mpg', u'go', u'real', u'big', u'factor']"
430,kdshapiro,January 2004,"[u'toyota', u'point', u'afford', u'car', u'class', u'upkeep', u'difference', u'mpg', u'go', u'real', u'big', u'factor', u'honestly', u'though', u'car', u'range', u'vehicles', u'size', u'engine', u'size', u'weight', u'would', u'rather', u'get', u'around', u'town', u'unless', u'buy', u'force', u'air', u'high', u'performance', u'whatever', u'range', u'reason', u'good', u'performance', u'come', u'expense', u'fuel', u'economy', u'emissions', u'evo', u'cite', u'enthusiast', u'mags', u'get', u'bag', u'fine', u'right', u'ai', u'mine']"
431,pg48477,January 2004,"[u'think', u'fuel', u'millage', u'important', u'buy', u'car', u'hand', u'engine', u'sound', u'like', u'realy', u'low', u'millage', u'plus', u'car', u'heavy']"
432,pg48477,January 2004,"[u'anybody', u'consider', u'many', u'people', u'talk', u'look', u'like', u'grate', u'car']"
433,kdshapiro,January 2004,"[u'think', u'fuel', u'millage', u'important', u'buy', u'car', u'fuel', u'bill', u'dollars', u'month', u'drive', u'lot', u'mileage', u'get', u'lousy', u'economy', u'might', u'change', u'mind', u'course', u'priorities']"
434,jmess,January 2004,"[u'drive', u'pickup', u'years', u'condition', u'buy', u'sporty', u'sedan', u'anything', u'get', u'mpg', u'economy', u'car', u'chrysler', u'seldom', u'even', u'check', u'mileage', u'one', u'beauties', u'trip', u'computer', u'deal', u'much', u'guilt', u'gas', u'go']"
435,cybersol,January 2004,"[u'well', u'first', u'horsepower', u'little', u'acceleration', u'top', u'speed', u'acceleration', u'torque', u'peak', u'torque', u'whole', u'area', u'torque', u'curve', u'tl', u'achieve', u'rpm', u'bmw', u'achieve', u'ram', u'rpm', u'lb', u'difference', u'peak', u'torque', u'bmw', u'acheives', u'much', u'earlier', u'earlier', u'torque', u'peak', u'generally', u'mean', u'much', u'broader', u'flatter', u'torque', u'curve', u'general', u'less', u'peaky', u'also', u'generally', u'mean', u'less', u'peak', u'hp', u'explain', u'large', u'hp', u'second', u'engine', u'alone', u'power', u'tramsitted', u'grind', u'via', u'gear', u'transmission', u'final', u'drive', u'axle', u'gear', u'space', u'affect', u'acceleration', u'allow', u'engine', u'stay', u'longer', u'peak', u'torque', u'peak', u'hp', u'first', u'gear', u'ratio', u'also', u'need', u'select', u'deliver', u'maximum', u'power', u'without', u'overpower', u'wheel', u'tire', u'deliver', u'force', u'say', u'list', u'bmw', u'tl', u'approximately', u'equal', u'acceleration', u'test', u'see', u'seem', u'large', u'variation', u'time', u'different', u'instance', u'variation', u'three', u'different', u'model']"
436,riez,January 2004,"[u'rx', u'base', u'lowish', u'highway', u'fuel', u'economy', u'estimate', u'due', u'gear', u'use', u'deep', u'overdrive', u'gear', u'prefer', u'deeper', u'overdrive', u'hardly', u'shift', u'order', u'pass', u'performance', u'car', u'economy', u'car', u'design', u'drivers', u'even', u'want', u'performance', u'gear', u'compare', u'gear', u'toyota', u'rx', u'versus', u'take', u'account', u'final', u'drive', u'ratio', u'individual', u'ratio', u'gear', u'want', u'complain', u'check', u'mileage', u'differences', u'less', u'powerful', u'fuel', u'efficient', u'part', u'problem', u'tie', u'gear', u'well', u'smallish', u'engine', u'car', u'weight']"
437,chrisboth,January 2004,"[u'unless', u'buy', u'force', u'air', u'high', u'performance', u'whatever', u'range', u'reason', u'good', u'performance', u'come', u'expense', u'fuel', u'economy', u'emissions', u'evo', u'cite', u'enthusiast', u'mags', u'get', u'bag', u'fine', u'right', u'ai', u'mine', u'song', u'pulp', u'fiction', u'sountrack', u'preacher', u'man', u'head', u'right', u'reason', u'kds', u'drive', u'right', u'amount', u'gas', u'mileage', u'get', u'pollute', u'emissions', u'right', u'gas', u'mileage', u'toyota', u'board', u'mileage', u'concern', u'always', u'compromise', u'next', u'class', u'wont', u'hp', u'car', u'baby', u'fuggeda', u'flippin', u'gas', u'live', u'us', u'people']"
438,g17,January 2004,"[u'well', u'ca', u'believe', u'get', u'thru', u'thread', u'say', u'use', u'ok', u'use', u'daily', u'beater', u'chrysler', u'good', u'commuter', u'car', u'certainly', u'comfortable', u'long', u'rid', u'quick', u'enough', u'toy', u'people', u'stoplight', u'stoplight', u'handle', u'well', u'better', u'audi', u'buy', u'use', u'great', u'price', u'must', u'say', u'damn', u'reliable', u'reason', u'get', u'rid', u'type', u'people', u'drive', u'juveniles', u'act', u'like', u'swear', u'best', u'vehicle', u'since', u'model', u'introduce', u'least', u'dump', u'clown', u'come', u'chrysler', u'ask', u'chrysler']"
439,kahunah,January 2004,"[u'truth', u'reveal', u'thank']"
440,chrisboth,January 2004,[]
441,jmess,January 2004,"[u'one', u'sportcross', u'sedan', u'regularly', u'cut', u'neighborhood', u'never', u'see', u'anyone', u'drive', u'one', u'kind', u'like', u'way', u'younger', u'women', u'react', u'sportcross', u'trouble', u'interest', u'car', u'chrysler', u'even', u'mods', u'talk', u'one', u'kind', u'sad', u'get', u'mature', u'worry', u'associate', u'juveniles', u'think', u'try', u'avoid', u'condition', u'long', u'possible']"
442,riez,January 2004,"[u'worry', u'else', u'might', u'like', u'drive', u'car', u'bmw', u'owners', u'always', u'tarnish', u'snobs', u'yuppies', u'mb', u'owners', u'aloof', u'saabs', u'chevrolet', u'soccer', u'moms', u'crowd', u'japanese', u'premium', u'marques', u'bore', u'play', u'safe', u'jaguar', u'must', u'rule', u'porsche', u'chevrolet', u'owners', u'obsess', u'performance', u'improve', u'car', u'performance', u'mention', u'ford', u'firebird', u'chevrolet', u'etc', u'people', u'love', u'mods', u'mention', u'entire', u'tuner', u'crowd', u'civics', u'use', u'chevrolet', u'ss', u'member', u'major', u'owner', u'club', u'state', u'nationally', u'get', u'together', u'talk', u'mods', u'performance', u'tune', u'etc', u'people', u'alike', u'people', u'love', u'car', u'love', u'performance', u'want', u'best', u'might', u'mean', u'yeah', u'trd', u'others', u'nice', u'mods', u'problem', u'anyone']"
443,shipo,January 2004,"[u'well', u'say']"
444,raher,January 2004,"[u'always', u'fast', u'want', u'go', u'much', u'money', u'get']"
445,saugatak,January 2004,"[u'riez', u'agree', u'ca', u'even', u'judge', u'someone', u'wealth', u'car', u'drive', u'know', u'plenty', u'wealthy', u'people', u'treat', u'car', u'like', u'cost', u'let', u'face', u'probably', u'rapidly', u'depreciate', u'asset', u'gladly', u'buy', u'camcord', u'beat', u'years', u'buy', u'another', u'much', u'put', u'cash', u'car', u'skimp', u'everything', u'else', u'buy', u'use', u'car', u'cheap', u'never', u'tell']"
446,kdshapiro,January 2004,"[u'others', u'much', u'put', u'cash', u'car', u'skimp', u'everything', u'else', u'buy', u'use', u'car', u'cheap', u'never', u'tell', u'others', u'lot', u'fleet', u'high', u'price', u'automobile', u'essence', u'people', u'little', u'acquire', u'inexpensive', u'people', u'little', u'acquire', u'expensive', u'people', u'acquire', u'inexpensive', u'people', u'acquire', u'expensive', u'automobileswhich', u'make', u'feel', u'better']"
447,mohatu,January 2004,"[u'rhetorical', u'question', u'course', u'always', u'better', u'young', u'rich', u'healthy', u'old', u'poor', u'else', u'come', u'depend', u'priorities', u'abilities', u'circumstances']"
448,kdshapiro,January 2004,"[u'rhetorical', u'question', u'course', u'always', u'better', u'young', u'rich', u'healthy', u'old', u'poor', u'correct', u'rather', u'old', u'poor', u'sick', u'dead']"
449,shipo,January 2004,"[u'hop', u'old', u'rich', u'healthy', u'drive', u'bmw', u'ummm', u'errr', u'say', u'ummm', u'mood', u'best', u'regard', u'shipo']"
450,buddhabman,January 2004,"[u'think', u'people', u'see', u'car', u'project', u'lot', u'life', u'disconnect', u'people', u'philosophy', u'consumerism']"
451,chrisboth,January 2004,"[u'dont', u'know', u'want', u'biggest', u'want', u'brag', u'imo', u'people', u'biggest', u'baddest', u'car', u'way', u'pay', u'entry', u'lux', u'sedan', u'ones', u'spend', u'would', u'millionares', u'look', u'like', u'ones', u'drive', u'honda', u'may', u'millionaires', u'prudent', u'seem', u'avg', u'wealthiest', u'people', u'know', u'act', u'like', u'poor', u'drive', u'volkswagen', u'vans', u'best', u'look', u'car', u'point', u'friends', u'garage', u'well', u'guy', u'buy', u'gas', u'credit', u'card', u'afford', u'fam', u'think', u'asss', u'buy', u'car', u'say', u'load', u'volkwagen', u'think', u'prudent', u'get', u'time', u'value', u'pleasure', u'give', u'chrysler', u'drive', u'us', u'board', u'like', u'probably', u'actually', u'nut']"
452,kdshapiro,January 2004,"[u'way', u'pay', u'entry', u'lux', u'sedan', u'ones', u'spend', u'would', u'millionares', u'wait', u'long', u'time', u'get', u'car', u'could', u'afford', u'one', u'back', u'day', u'due', u'smart', u'invest', u'wealthiest', u'people', u'know', u'act', u'like', u'poor', u'drive', u'volkswagen', u'vans', u'ones', u'know', u'drive', u'roll']"
453,aciampi,January 2004,"[u'one', u'friend', u'mine', u'own', u'car', u'dealerships', u'one', u'bank', u'wealthy', u'drive', u'chevrolet', u'chevrolet', u'pickup', u'friend', u'mine', u'ca', u'rub', u'two', u'nickel', u'together', u'time', u'purchase', u'unemployed', u'bmw', u'actually', u'research', u'project', u'topic', u'psychology', u'class', u'test', u'subject', u'age', u'hard', u'conclusions', u'could', u'come', u'younger', u'drivers', u'make', u'purchase', u'base', u'status', u'particular', u'name', u'brand', u'bring', u'older', u'drive', u'apt', u'make', u'purchase', u'base', u'upon', u'performance', u'want', u'look', u'performance', u'handeling', u'every', u'possible', u'toy', u'inside', u'reasonable', u'price', u'purchase', u'tl', u'nav']"
454,kdshapiro,January 2004,"[u'go', u'either', u'way', u'go', u'different', u'ways', u'want', u'bmw', u'longest', u'time', u'finally', u'get', u'one', u'turn', u'back', u'substitute', u'may', u'luxorious', u'fastest', u'best', u'love']"
455,jmess,January 2004,"[u'think', u'want', u'bmw', u'bounce', u'price', u'lack', u'lsd', u'could', u'easily', u'deal', u'price', u'could', u'forgive', u'bmw', u'leave', u'lsd', u'pretty', u'easy', u'buy', u'things', u'like', u'hids', u'premium', u'sound', u'metallic', u'paint', u'standard', u'equipment', u'lsd', u'option', u'quite', u'bargain']"
456,blueguydotcom,January 2004,"[u'think', u'people', u'see', u'car', u'project', u'lot', u'life', u'disconnect', u'people', u'philosophy', u'consumerism', u'hate', u'bmw', u'represent', u'many', u'people', u'drive', u'pro', u'often', u'use', u'bmw', u'weekend', u'even', u'many', u'people', u'ask', u'chrysler', u'car', u'load', u'things', u'guess', u'usual', u'weekend', u'dishevled', u'appearance', u'jive', u'concept', u'bmw', u'hole', u'unshaven', u'barely', u'brush', u'hair', u'fit', u'usual', u'weekend', u'look', u'btw', u'someone', u'mention', u'pay', u'cash', u'gas', u'silly', u'credit', u'card', u'give', u'cash', u'back', u'reward', u'use', u'use', u'card', u'free', u'expense', u'incur', u'anyway', u'get', u'something', u'expenditures', u'use', u'cash', u'little', u'possible', u'return', u'cash', u'nothing', u'agree', u'kd', u'want', u'bmw', u'since', u'current', u'hit', u'streets', u'drive', u'everything', u'end', u'car', u'think', u'fit', u'chrysler', u'perfectly', u'nothing', u'quite', u'like', u'love', u'car']"
457,kdshapiro,January 2004,"[u'hate', u'bmw', u'represent', u'many', u'people', u'let', u'extend', u'concept', u'hate', u'roll', u'many', u'people', u'hate', u'ferrari', u'many', u'people', u'hate', u'maybach', u'many', u'people', u'hate', u'mercedes', u'many', u'people', u'oh', u'well', u'could', u'go', u'diverse', u'world', u'thank', u'lord', u'amount', u'money', u'one', u'person', u'affect', u'handle', u'one', u'car', u'really', u'discuss', u'right', u'one', u'car', u'vs', u'another', u'one', u'car', u'buyers', u'money', u'vs', u'another', u'car', u'buyers', u'money', u'one', u'car', u'buyers', u'snobbishness', u'vs', u'another', u'car', u'buyers', u'snobbishness', u'make', u'feel', u'really', u'good', u'say', u'due', u'jealously', u'imho', u'person', u'worth', u'fortune', u'drive', u'year', u'old', u'hyundai', u'people', u'flaunt', u'either', u'way', u'want', u'mine', u'want', u'buy', u'car', u'want', u'reason']"
458,kennyg5,January 2004,"[u'kd', u'right', u'always', u'different', u'stroke', u'different', u'folks', u'different', u'people', u'buy', u'drive', u'different', u'car', u'different', u'reason', u'guy', u'prefer', u'blondes', u'others', u'prefer', u'brunettes', u'get', u'get', u'rid', u'year', u'old', u'hyundai', u'example', u'cheap', u'unreliable', u'unsafe', u'pos', u'imho', u'prefer', u'anyone', u'except', u'afford', u'something', u'better']"
459,shenkar,January 2004,"[u'kd', u'get', u'get', u'rid', u'year', u'old', u'hyundai', u'example', u'cheap', u'unreliable', u'unsafe', u'pos', u'imho', u'prefer', u'anyone', u'except', u'afford', u'something', u'better', u'say', u'thank', u'youuu']"
460,kdshapiro,January 2004,"[u'intensely', u'aware', u'difference', u'simply', u'good', u'genuinely', u'excellent', u'love', u'drive', u'yet', u'constrain', u'run', u'vehicle', u'bmw', u'bmw', u'car', u'perfect', u'bmw', u'offer', u'series', u'available', u'coupe', u'convertible', u'sedan', u'sport', u'wagon', u'versions', u'quote', u'press', u'release', u'bmw', u'feature', u'quote', u'automobile', u'magazine', u'bmw', u'rack', u'another', u'award', u'year', u'row']"
461,chrisboth,January 2004,"[u'wan', u'na', u'see', u'press', u'release', u'suppose', u'impress', u'bmw', u'market', u'people', u'doubt', u'new', u'leader', u'read', u'independent', u'press']"
462,kdshapiro,January 2004,"[u'suppose', u'impress', u'bmw', u'market', u'people', u'quote', u'come', u'bmw', u'market', u'quote', u'take', u'issue', u'automobile', u'bmw', u'market', u'quote', u'snippet', u'article', u'press', u'release']"
463,raher,January 2004,"[u'press', u'release', u'market', u'ever', u'see', u'press', u'release', u'automobile', u'manufacturer', u'talk', u'another', u'car', u'better', u'acura', u'could', u'use', u'cr', u'article', u'press', u'release', u'infiniti', u'could', u'use', u'article', u'talk', u'take', u'worth', u'worth', u'writers', u'editors', u'opinion', u'really', u'matter', u'sell', u'car', u'acura', u'apparently', u'sell', u'tl', u'better', u'previous', u'tl', u'even', u'without', u'endorsement', u'automobile', u'magazine', u'would', u'pay', u'see', u'five', u'people', u'must', u'look', u'like', u'one', u'circus', u'car', u'clown', u'get', u'small', u'car']"
464,shipo,January 2004,"[u'would', u'pay', u'see', u'five', u'people', u'must', u'look', u'like', u'one', u'circus', u'car', u'clown', u'get', u'small', u'know', u'five', u'adults', u'former', u'bmw', u'number', u'time', u'go', u'lie', u'say', u'room', u'world', u'however', u'claim', u'comfortable', u'regard', u'shipo']"
465,kdshapiro,January 2004,"[u'really', u'matter', u'sell', u'car', u'point', u'matter', u'example', u'people', u'understand', u'bmw', u'sell', u'boat', u'load', u'bmw', u'however', u'pursuit', u'automotive', u'excellence', u'press', u'provide', u'function', u'determine', u'unbiased', u'fashion', u'debate', u'merit', u'particular', u'vehicle', u'aspect', u'reason', u'post', u'information', u'show', u'contrary', u'opinions', u'bmw', u'automotive', u'press', u'still', u'regard', u'benchmark', u'world', u'entry', u'level', u'luxury', u'sport', u'sedan', u'one', u'magazines', u'opinions', u'others', u'well', u'look', u'automotive', u'opinions', u'one', u'way', u'level', u'set', u'could', u'go', u'say', u'believe', u'vehicle', u'value', u'vehicles', u'aspects', u'world', u'sport', u'sedan', u'better', u'would', u'agree', u'ca', u'discuss', u'sport', u'sporty', u'sedan', u'ignore', u'obvious', u'overall', u'handle', u'ford', u'one', u'set', u'number']"
466,riez,January 2004,"[u'pretty', u'much', u'anytime', u'automotive', u'press', u'rightly', u'tout', u'series', u'normally', u'talk', u'either', u'bmw', u'awesome', u'car', u'car', u'manual', u'transmission', u'sport', u'automatic', u'without', u'sport', u'pkg', u'rather', u'expensive', u'somewhat', u'mundane', u'car', u'really', u'nothing', u'unique', u'marque', u'badge', u'lack', u'critical', u'feature', u'create', u'difference', u'simply', u'good', u'genuinely', u'excellent', u'love', u'drive', u'one', u'way', u'get', u'series', u'sport', u'package', u'manual', u'transmission', u'others', u'pretenders', u'serious', u'around', u'sport', u'sedan', u'bmw', u'serious', u'love', u'drive', u'create', u'true', u'existential', u'difference', u'good', u'excellent', u'lsd', u'speak', u'volumes', u'bmw', u'bmw', u'lsd', u'bmw', u'think', u'buyers', u'smart', u'enough', u'figure', u'know', u'something', u'buyers', u'guess', u'percentage', u'series', u'esp', u'sedan', u'sell', u'automatics', u'bet', u'least', u'percent', u'percentage', u'series', u'sedan', u'sport', u'package', u'doubt', u'percent', u'percentage', u'sedan', u'manual', u'transmission', u'sport', u'package', u'doubt', u'vast', u'majority', u'series', u'sedan', u'owners', u'must', u'will', u'settle', u'heck', u'lot', u'less', u'could', u'purchase', u'could', u'drive', u'kdshapiro', u'forget', u'series', u'automatic', u'sport', u'pkg']"
467,kdshapiro,January 2004,"[u'love', u'drive', u'one', u'way', u'get', u'series', u'sport', u'package', u'manual', u'transmission', u'others', u'pretenders', u'serious', u'around', u'sport', u'sedan', u'sorry', u'riez', u'get', u'ta', u'agree', u'disagree', u'one', u'time', u'practicality', u'rear', u'ugly', u'head', u'would', u'drive', u'manual', u'sit', u'traffic', u'sit', u'every', u'morning', u'luxury', u'bmw', u'weekend', u'car', u'point', u'equip', u'vehicle', u'make', u'chrysler', u'pretender', u'make', u'chrisboth', u'pretender', u'also', u'vehicle', u'lsd', u'make', u'pretender', u'purchase', u'less', u'expensive', u'vehicle', u'auto', u'tranny', u'would', u'sure', u'follow', u'except', u'get', u'bmw', u'weekend', u'car']"
468,igiban,January 2004,"[u'good', u'drive', u'machine', u'decent', u'rid', u'machine', u'small', u'rear', u'hard', u'seat', u'pure', u'sport', u'car', u'comfortable', u'tl', u'may', u'good', u'drive', u'machine', u'practical', u'one', u'car', u'time']"
469,riez,January 2004,"[u'kdshapiro', u'kid', u'right', u'bring', u'existential', u'difference', u'good', u'excellent', u'say', u'practicality', u'rear', u'ugly', u'head', u'sit', u'traffic', u'sit', u'every', u'morning', u'may', u'mean', u'automatic', u'pkg', u'mean', u'say', u'car', u'excellent', u'good', u'ca', u'hold', u'candle', u'manual', u'sport', u'pkg', u'compare', u'tire', u'ever', u'look', u'base', u'tire', u'garbage', u'great', u'philosopher', u'say', u'hell', u'people', u'might', u'say', u'hell', u'stick', u'traffic', u'car', u'stick', u'traffic', u'mean', u'provide', u'drive', u'pleasure', u'mere', u'sit', u'lot', u'traffic', u'buy', u'vehicles', u'get', u'honda', u'honda', u'traffic', u'honda', u'mazda', u'miata', u'fun', u'might', u'cost', u'much', u'load']"
470,kdshapiro,January 2004,"[u'thing', u'would', u'rather', u'forgo', u'sit', u'honda', u'mentality', u'excellent', u'weekend', u'car', u'nicely', u'equip', u'model', u'ride', u'honda', u'thank', u'keep', u'one', u'little', u'compromise', u'one', u'make', u'life', u'bmw', u'ultimate', u'ford', u'know', u'yet', u'little', u'high', u'chrysler', u'car', u'daily', u'great', u'thing', u'bmw', u'recognize', u'purchaser', u'might', u'want', u'make', u'compromise', u'like', u'provide', u'options', u'every', u'occasion']"
471,riez,January 2004,"[u'bmw', u'cost', u'much', u'load', u'seem', u'worth']"
472,kdshapiro,January 2004,[u'ragtop']
473,riez,January 2004,"[u'want', u'near', u'drive', u'automatic', u'make', u'sense', u'chrysler', u'ca', u'explain', u'people', u'pass', u'excellent', u'could', u'imagine', u'spend', u'vehicle', u'let', u'alone', u'one', u'spend', u'lot', u'time', u'stick', u'traffic', u'might', u'either', u'move', u'buy', u'another', u'car', u'work', u'commuter', u'car', u'fwd', u'hyundai', u'hyundai', u'mercedes', u'manual', u'load', u'leather', u'sunroof', u'etc', u'pay']"
474,kdshapiro,January 2004,"[u'want', u'near', u'drive', u'automatic', u'make', u'sense', u'chrysler', u'think', u'car', u'perfect', u'daily', u'commuter', u'let', u'say', u'middle', u'road', u'honda', u'bmw', u'wrong', u'zhp', u'available', u'time', u'probably', u'would', u'get']"
475,chrisboth,January 2004,"[u'others', u'pretenders', u'serious', u'around', u'sport', u'sedan', u'gi', u'hope', u'feel', u'pretend', u'consolation', u'leave', u'behind', u'performance', u'even', u'zhp', u'handle', u'almost', u'exactly', u'sport', u'sedan', u'g', u'g', u'faster', u'quarter', u'mile', u'real', u'truth', u'anywhere', u'around', u'glean', u'actual', u'comparisons', u'fm', u'platform', u'recently', u'compare', u'porsche', u'often', u'compare', u'series', u'really', u'worry', u'everyman', u'drive', u'public', u'give', u'credence', u'car', u'actually', u'perform', u'better', u'porsche', u'audi', u'audi', u'audi', u'mercedes', u'model']"
476,blueguydotcom,January 2004,"[u'use', u'commute', u'miles', u'day', u'zhp', u'snatch', u'protege', u'es', u'manual', u'duty', u'every', u'weekday', u'miss', u'zhp', u'practicality', u'sake', u'could', u'see', u'put', u'miles', u'bmw', u'every', u'year', u'course', u'car', u'manuals', u'lick', u'traffic', u'take', u'tire', u'leave', u'leg', u'car', u'keep', u'chrysler', u'involve', u'ie', u'mention', u'adults', u'do', u'many', u'many', u'time', u'cornfed', u'midwestern', u'bundle', u'northeasterners', u'size', u'adults', u'make', u'difference', u'two', u'petite', u'females', u'average', u'adult', u'male', u'honda', u'back', u'fine']"
477,kdshapiro,January 2004,"[u'bmw', u'nissan', u'honda', u'among', u'best', u'engines', u'dominant', u'benchmark', u'nissan', u'way', u'read']"
478,speedracer3,January 2004,"[u'nissan', u'vq', u'series', u'one', u'best', u'engines', u'buy', u'bmw', u'one', u'best', u'inline', u'engines', u'buy']"
479,kdshapiro,January 2004,"[u'read', u'way', u'engines', u'ten', u'top', u'engines', u'buy', u'frugal']"
480,chrisboth,January 2004,"[u'look', u'cant', u'everything', u'every', u'engine', u'enjoy', u'power', u'enjoy', u'take', u'power', u'esentially', u'kds', u'say', u'vq', u'good', u'since', u'use', u'gas', u'smooth', u'whatever', u'get', u'forget', u'simply', u'faster', u'motor', u'power', u'want', u'buy', u'economy', u'car', u'many', u'car', u'class', u'let', u'get', u'ever', u'mention', u'hynduia', u'guess', u'spend', u'car', u'rest', u'class', u'need', u'save', u'gas']"
481,kdshapiro,January 2004,"[u'esentially', u'kds', u'say', u'vq', u'good', u'since', u'use', u'gas', u'smooth', u'whatever', u'get', u'forget', u'simply', u'faster', u'motor', u'power', u'wo', u'say', u'anything', u'except', u'like', u'best', u'list', u'sound', u'like', u'bmw', u'envy']"
482,danny1878,January 2004,"[u'tl', u'envy', u'chris', u'believe', u'chrysler', u'bmw', u'bmw', u'one', u'best', u'engine', u'honda', u'best', u'car', u'engine', u'friend', u'forget', u'read', u'dominant', u'benchmark', u'nissan', u'need', u'bring', u'lot', u'different', u'engines', u'comparison', u'either', u'power', u'torque', u'fuel', u'consumption', u'attribute', u'look', u'nissan', u'top']"
483,chrisboth,January 2004,"[u'bmw', u'fantastic', u'engine', u'reliablity', u'lose', u'like', u'stroke', u'long', u'rpm', u'car', u'great', u'motor', u'see', u'issue', u'bring', u'also', u'let', u'keep', u'mind', u'vq', u'g', u'detuned', u'another', u'hp', u'depend', u'platform', u'get', u'push', u'hp', u'limit', u'already']"
484,igiban,January 2004,"[u'seem', u'front', u'car', u'category', u'price', u'tag', u'try', u'stay', u'either', u'get', u'l', u'p', u'time', u'arguably', u'best', u'term', u'performance', u'also', u'expensive', u'cover', u'badge', u'rwd', u'people', u'will', u'trade', u'bite', u'less', u'handle', u'bite', u'luxury', u'interior', u'settings', u'conveniences', u'amenities', u'es', u'price', u'range', u'simply', u'luxury', u'p', u'sedan', u'seem', u'new', u'tl', u'win', u'l', u'department', u'agree']"
485,kdshapiro,January 2004,"[u'people', u'will', u'trade', u'bite', u'less', u'handle', u'bite', u'luxury', u'interior', u'settings', u'conveniences', u'amenities', u'room', u'would', u'think', u'fair', u'statment']"
486,riez,January 2004,"[u'emergency', u'business', u'trip', u'today', u'miles', u'state', u'roads', u'inch', u'snow', u'fell', u'past', u'hours', u'snow', u'time', u'drive', u'temps', u'around', u'deg', u'f', u'deg', u'f', u'wind', u'chill', u'blow', u'hard', u'time', u'get', u'back', u'problems', u'manual', u'trouble', u'manual', u'transmission', u'throttle', u'lsd', u'abs', u'tc', u'help', u'drive', u'prudently', u'condition', u'key', u'think', u'ever', u'go', u'faster', u'mph', u'likely', u'average', u'new', u'nissan', u'nissan', u'fwd', u'older', u'dodge', u'chrysler', u'fwd', u'ditch', u'along', u'older', u'chevrolet', u'chevrolet', u'rwd', u'business', u'chevrolet', u'utility', u'van', u'rwd', u'drive', u'back', u'fwd', u'chrysler', u'chrysler', u'follow', u'behind', u'chrysler']"
